Date,TXG.Open,TXG.High,TXG.Low,TXG.Close,TXG.Volume,TXG.Adjusted
1/2/2020,76.910004,77.989998,71.480003,72.830002,220200,72.830002
1/3/2020,71.519997,76.188004,70.580002,75.559998,288300,75.559998
1/6/2020,75.269997,77.349998,73.559998,75.550003,220600,75.550003
1/7/2020,76,77.279999,75.32,75.980003,182400,75.980003
1/8/2020,76.089996,76.949997,72.739998,74.839996,172100,74.839996
1/9/2020,75.580002,77.940002,75.5,77.169998,183600,77.169998
1/10/2020,77.639999,83.550003,77.134003,79.75,295800,79.75
1/13/2020,80.849998,84.709999,80.524002,83.720001,196800,83.720001
1/14/2020,83.809998,85.139999,81.639999,84.610001,152100,84.610001
1/15/2020,85.459999,90.370003,85.139999,85.800003,308000,85.800003
1/16/2020,86.82,87.150002,84.010002,85.889999,126000,85.889999
1/17/2020,86.110001,87.758003,80.269997,83.629997,140700,83.629997
1/21/2020,84.989998,88.860001,83.010002,87.75,207500,87.75
1/22/2020,89.540001,96.737999,89.199997,91.809998,395200,91.809998
1/23/2020,92.349998,95.059998,90,95.059998,197300,95.059998
1/24/2020,95.459999,101,94.157997,100.790001,328100,100.790001
1/27/2020,99.760002,104.892998,97.019997,103.209999,334900,103.209999
1/28/2020,104.620003,108.269997,103.297997,106.620003,245400,106.620003
1/29/2020,107.779999,108.359001,98.029999,99.290001,284800,99.290001
1/30/2020,99,99.269997,89.68,93.550003,370200,93.550003
1/31/2020,93.800003,96.739998,89.110001,91.389999,214700,91.389999
2/3/2020,91.25,96.664001,91,93.82,141200,93.82
2/4/2020,95.459999,96.010002,90.224998,90.720001,152500,90.720001
2/5/2020,91.129997,93.112,90.029999,92.010002,114300,92.010002
2/6/2020,92.269997,95.330002,90.525002,91.190002,125800,91.190002
2/7/2020,92.699997,93,86.160004,88.980003,222500,88.980003
2/10/2020,89.459999,91.419998,87.495003,88.370003,97700,88.370003
2/11/2020,88.870003,90.010002,83.529999,87.25,286700,87.25
2/12/2020,86.559998,87.209999,84.899002,86.660004,137700,86.660004
2/13/2020,87.699997,90.769997,86.040001,86.769997,121900,86.769997
2/14/2020,87.669998,94.279999,86.349998,92.57,265600,92.57
2/18/2020,93,93.860001,86.646004,90.220001,288200,90.220001
2/19/2020,86.410004,93.800003,82.099998,90.599998,992300,90.599998
2/20/2020,90.389999,90.989998,84,85.440002,279000,85.440002
2/21/2020,85.059998,85.474998,78.68,82,618400,82
2/24/2020,78.099998,80.610001,75.540001,79.949997,306500,79.949997
2/25/2020,79.239998,80,72.75,73.57,559800,73.57
2/26/2020,73.959999,80.230003,73.010002,75.18,434300,75.18
2/27/2020,73.489998,76.5,71.169998,72.730003,225800,72.730003
2/28/2020,70.029999,79.830002,70.029999,79.699997,314600,79.699997
3/2/2020,80.440002,81.480003,75.019997,79.370003,418700,79.370003
3/3/2020,79.519997,81.139999,75,76.949997,331800,76.949997
3/4/2020,78.709999,78.709999,72.870003,77.419998,354800,77.419998
3/5/2020,77.300003,78.172997,71.589996,72.589996,340100,72.589996
3/6/2020,69.419998,71.5,62.060001,71.279999,3934700,71.279999
3/9/2020,63.52,68.32,62.509998,65.290001,721000,65.290001
3/10/2020,65.949997,67.18,60.900002,66.5,921800,66.5
3/11/2020,62.91,64,57.41,60.759998,1066300,60.759998
3/12/2020,55.119999,59.994999,50.810001,59.599998,661300,59.599998
3/13/2020,60,62.689999,55.560001,57.360001,726100,57.360001
3/16/2020,51,60.990002,51,55.549999,693500,55.549999
3/17/2020,55.470001,61.709999,53.849998,59.880001,430700,59.880001
3/18/2020,57.549999,59.490002,54.389999,58,584500,58
3/19/2020,57.07,58.5,51.965,55,1125800,55
3/20/2020,53.779999,56.779999,52.509998,55.779999,1342500,55.779999
3/23/2020,55.560001,55.985001,48.779999,51.57,1261400,51.57
3/24/2020,53.75,57.810001,53.75,57.110001,694200,57.110001
